FirstNamaz;SecondNamaz;ThirdNamaz;FourthNamaz;FifthNamaz;SixthNamaz;Day;Mouth
8:02;10:00;13:20;14:44;16:06;18:04;1;1
8:01;10:00;13:20;14:45;16:07;18:04;2;1
8:01;9:59;13:20;14:45;16:09;18:06;3;1
8:01;9:58;13:20;14:46;16:10;18:07;4;1
7:59;9:58;13:20;14:46;16:12;18:10;5;1
7:58;9:57;13:20;14:47;16:13;18:12;6;1
7:57;9:56;13:20;14:47;16:15;18:13;7;1
7:56;9:55;13:20;14:48;16:17;18:15;8;1
7:55;9:54;13:20;14:50;16:19;18:17;9;1
7:54;9:53;13:20;14:52;16:21;18:20;10;1
7:52;9:52;13:20;14:54;16:23;18:22;11;1
7:51;9:51;13:20;14:56;16:25;18:24;12;1
7:50;9:49;13:20;14:58;16:27;18:26;13;1
7:48;9:48;13:20;15:00;16:29;18:28;14;1
7:47;9:46;13:20;15:02;16:31;18:30;15;1
7:46;9:45;13:20;15:04;16:34;18:32;16;1
7:45;9:44;13:20;15:06;16:36;18:35;17;1
7:43;9:41;13:20;15:08;16:38;18:37;18;1
7:41;9:40;13:20;15:10;16:42;18:40;19;1
7:39;9:38;13:20;15:12;16:43;18:42;20;1
7:37;9:36;13:20;15:14;16:45;18:44;21;1
7:35;9:34;13:20;15:16;16:48;18:47;22;1
7:33;9:32;13:20;15:18;16:50;18:50;23;1
7:31;9:30;13:20;15:20;16:53;18:52;24;1
7:29;9:28;13:20;15:22;16:55;18:55;25;1
7:27;9:26;13:20;15:24;16:58;18:57;26;1
7:25;9:24;13:20;15:26;17:00;19:00;27;1
7:23;9:22;13:20;15:28;17:03;19:02;28;1
7:21;9:20;13:20;15:30;17:05;19:05;29;1
7:19;9:18;13:20;15:32;17:08;19:07;30;1
7:16;9:15;13:20;15:34;17:11;19:10;31;1
7:14;9:13;13:20;15:36;17:13;19:12;1;2
7:12;9:11;13:20;15:38;17:16;19:15;2;2
7:09;9:08;13:20;15:40;17:18;19:17;3;2
7:07;9:06;13:20;15:42;17:21;19:20;4;2
7:04;9:04;13:20;15:44;17:24;19:23;5;2
7:02;9:01;13:20;15:46;17:26;19:26;6;2
6:59;8:59;13:20;15:48;17:29;19:28;7;2
6:57;8:56;13:20;15:50;17:32;19:31;8;2
6:54;8:54;13:20;15:52;17:34;19:33;9;2
6:51;8:51;13:20;15:54;17:37;19:36;10;2
6:49;8:48;13:20;15:56;17:39;19:39;11;2
6:46;8:46;13:20;15:58;17:42;19:41;12;2
6:43;8:43;13:20;16:00;17:45;19:44;13;2
6:41;8:41;13:20;16:02;17:47;19:47;14;2
6:38;8:38;13:20;16:04;17:50;19:49;15;2
6:36;8:35;13:20;16:06;17:52;19:52;16;2
6:33;8:32;13:20;16:08;17:55;19:55;17;2
6:30;8:30;13:20;16:10;17:58;19:57;18;2
6:27;8:27;13:20;16:12;18:00;20:00;19;2
6:24;8:24;13:20;16:14;18:03;20:03;20;2
6:21;8:21;13:20;16:16;18:05;20:05;21;2
6:18;8:19;13:20;16:18;18:08;20:07;22;2
6:16;8:16;13:20;16:20;18:11;20:10;23;2
6:13;8:13;13:20;16:22;18:13;20:13;24;2
6:10;8:10;13:20;16:24;18:16;20:15;25;2
